,label,text
10,0,"Hi Dean , I wanted to get back in touch to see where you were with your roadmap and check in . There have been some changes here and I am now handling the Product Management role . Let ’s catch up . I can also fill you in on our progress with new technology . Thanks Mike Top Provider - NUM Socha-Gelbmann Electronic Discovery Survey This email message and its attachments may contain information that is privileged , confidential and protected by federal and state laws . If you are not the intended recipient , you are hereby notified that any reading , dissemination , distribution , copying , or other use of this message or its attachments is strictly prohibited . If you received this message in error , please notify the sender immediately by electronic mail , and delete this message , its attachments , and all copies and backups thereof ."
11,1,"Michael Eck • Director , AlphaLit • meck@alphalit.com < mailto:meck@alphalit.com > 458 Pike Road , Huntingdon Valley , PA 19006 • www.alphalit.com < http://www.alphalit.com/ > 215-322-8100 x168 • In NY : 212-757-5600 • In DC : 202-448-1540"
12,0,"Ordenan cierre de restaurante El Lomo y la Aguja El cierre será durante cinco días . De volver a incurrir en esta ilegalidad podría ser sancionado con el doble de días cerrados . Última actualización : NUM DE JULIO DE NUM 15:35 | por Luis Canizalez El Ministerio de Hacienda solicitó el cierre por cinco días del restaurante conocido como el Lomo y la Aguja , ubicado en la calle Albert Einstein , colonia Lomas de San Francisco , San Salvador , debido a que el establecimiento no estaba emitiendo facturas de IVA . Según el Ministerio de Hacienda se comisionó a dos fedatarios , los cuales son representantes de este ministerio encargados de revisar de una manera encubierta si los contribuyentes están emitiendo o no están emitiendo facturas . El primer fedatario visitó el establecimiento en abril del NUM y haciéndose pasar como cliente , consumió de los productos y no recibió la correspondiente factura de IVA . Esta primera vez se le impuso una multa de $ NUM . En el mes de mayo del presente año otro fedatario comprobó que tampoco estaba emitiendo la factura de IVA , razón por la cual se levantó el acta de comprobación y fue remitida a la Fiscalía para que procediera ante el juzgado pertinente , en este caso fue el juzgado tercero de lo Civil y Mercantil , donde el juez verificó que las pruebas eran pertinentes por cual se decretó el cierre por cinco días . El negocio propiedad del contribuyente Oscar Amaya Chorro , estará cerrado del NUM al NUM de julio del presente año . De volver a violar la ley podría ser castigado con el doble de los días sancionado . This e-mail and any attachment is confidential and may contain information which is legally privileged or subject to copyright . Any recipient who is not the addressee named above should be aware that improper use of the material contained in this e-mail is unlawful . The sender is not responsible for the accuracy or completeness of this message or any attachment as it has been transmitted over a public network . If you have received this message and any attachment in error , please notify us immediately and destroy and delete the message and any attachment from your computer . P Please consider the environment before printing this e-mail . Por favor considere el medio ambiente antes de imprimir este correo ."
13,1,"Noe Reyes Gerente Financiero Goddard Catering Group El Salvador KM 42 +200 MTS Autopista al Aeropuerto Intl. . El Salvador San Luis Talpa , La Paz El Salvador Tel 503 2312 - 4903 Fax 503 2339 9536 mailto : noe.reyes@goddardcatering.com website : www.goddard-catering.com"
14,0,".... we are thankful ; Apologies I did not make time to speak at length with you . Burr & Forman - results matter < outbind : / / NUM : / / URL > _____ CONFIDENTIAL : ATTORNEY/CLIENT PRIVILEGED ; ATTORNEY WORK PRODUCT All previous disclaimers apply to this message as well . To see a full list of disclaimers that apply to email from URL visit : < URL > URL . _____ From : Mills , Gail Sent : Monday , August NUM , NUM 12:47 PM To : Meszaros , Erin ; Miles , L'Tanya S. Subject : RETREAT WAS GREAT !!! Gail Livingston Mills Attorney at Law Direct : ( NUM ) NUM Cell : ( NUM ) NUM Main : ( NUM ) NUM Fax : ( NUM ) NUM NUM North NUM Street , Suite NUM Birmingham , Alabama NUM URL < URL > _____ CONFIDENTIAL : ATTORNEY/CLIENT PRIVILEGED ; ATTORNEY WORK PRODUCT The information contained in this email is intended for the individual or entity above . This email is protected by the Electronic Communications Privacy Act , NUM U.S.C. Sections NUM and is legally protected by the attorney/client privilege and/or work product doctrine . If you are not the intended recipient , please do not read , copy , use , forward or disclose this communication to others ; also , please notify the sender by replying to this message , and then delete this message from your system . Thank you . Circular NUM Notice - Regulations adopted by the Internal Revenue Service require us to inform you that any federal tax advice contained in this communication ( including attachments ) ( I ) is not intended or written by Burr & Forman LLP to be used , and can not be used , by any taxpayer for the purpose of avoiding penalties that may be imposed on the taxpayer , and ( II ) is not written to support the promotion or marketing of any transaction ( s ) or matter ( s ) addressed in this communication ."
15,1,"L'Tanya S. Miles Executive Assistant to CMO Direct : ( 404 ) 685-4283 Main : ( 404 ) 815-3000 Fax : ( 404 ) 214-7974 < mailto:llmiles@burr.comelicia > lmiles@burr.com 171 Seventeenth Street , NW Suite 1100 Atlanta , Georgia 30363 < http://www.burr.com/ > www.burr.com"
16,0,Send me the necessary paperwork to purchase pallets from you . Not sure of the contract or commit so I need to ready everything carefully and complete your credit application please .
17,1,"Becky Stanford Buyer International Greetings , USA 338 Industrial Blvd Midway , Georgia 31320 912-884-9727 Ext 251"
18,0,"No . That would only mean NUM more . More like mass producing . ALABAMA â € ¢ FLORIDA â € ¢ GEORGIA â € ¢ MISSISSIPPI â € ¢ TENNESSEE _____ CONFIDENTIAL : ATTORNEY/CLIENT PRIVILEGED ; ATTORNEY WORK PRODUCT All previous disclaimers apply to this message as well . To see a full list of disclaimers that apply to email from URL visit : URL . _____ From : Potter , Tom Sent : Thursday , September NUM , NUM 5:22 PM To : Meszaros , Erin ; PRACTICE GROUP LEADERS ; Letzer , Joe ; Atchison , Mike ; Brown , Ed ; Stephenson , Jack ; EXECUTIVECOMMITTEE ; MARKETINGCOMMITTEE Subject : RE : Administrative Staff Evaluations cloning Thomas K. Potter , III Attorney at Law Direct : ( NUM ) NUM Cell : ( NUM ) NUM Main : ( NUM ) NUM Fax : ( NUM ) NUM EMAIL NUM NUM American Center NUM West End Avenue Nashville , Tennessee NUM < URL > URL From : Meszaros , Erin Sent : Thursday , September NUM , NUM 5:14 PM To : PRACTICE GROUP LEADERS ; Letzer , Joe ; Atchison , Mike ; Brown , Ed ; Stephenson , Jack ; EXECUTIVECOMMITTEE ; MARKETINGCOMMITTEE Subject : FW : Administrative Staff Evaluations If time permits , I would appreciate any feedback you might provide through the evaluation process in order to improve my level of service . Thanks ! From : Ogletree , Cathy Sent : Wednesday , September NUM , NUM 5:42 PM Subject : Administrative Staff Evaluations It is that time of year to review administrative staff for the time period : October NUM , NUM - July NUM , NUM . Due to many attorneys ' requests in the past , we are moving the admin review period up a couple of months so that admin staff are not reviewed at the same time as associates . Since we are in a transitional phase , in future years the admin performance review period will cover : August NUM - July NUM . The administrative staff includes areas such as : Accounting , Administration , Human Resources , Information Services , Library , Marketing , Office Services , Records Management , Recruiting , etc. . It does not include legal secretaries , word processing , paralegals , or project assistants , as these groups were reviewed earlier in the year . You may also notice the "" look "" of the review process has changed ; however , the process is the same as in previous years . Your completion of the reviews is extremely important to the firm 's administrative staff performance review program and to the individuals being reviewed . Your time in doing so is much appreciated . Important Notes : * There are NUM ways to access the evaluations : NUM . Click < URL > here or paste following link in your browser : URL NUM . Go to Burr 's intranet , click on ViDesktop PRS Reviews on side bar ( listed NUM on side bar under "" Daily Links "" ) NUM . Access it remotely from home , or while traveling : * Open internet browser * Enter URL as the address * Log in using your network credentials * It might ask to install a small add-on from Juniper . Go ahead and install it , if it does . * Under the section called Web Bookmarks , there is a link called < URL > viDesktop ( viEval ) for Evaluations . Click on this link . * Enter your "" login "" and â € œpasswordâ € ? as shown below . Then it will show the Evaluations you have access to ( please give it a few seconds to load ) * Your login to evaluation system is your short firm email address limited to max of NUM characters without typing "" @burr.com "" in login , although you can do so . For example : Erich Durlacher 's login would be : EDurlach . * Your password to evaluation system has been reset to the word "" password . "" After you log into system , it will ask you to reset your password . Remember , your old password is the word "" password . "" Your new password can be whatever you choose it to be . After you login , it might take a couple of seconds for you to see the evaluations . * Deadline to complete reviews : Sunday , September NUM , at midnight . * For those of you who are new and/or are unfamiliar with our performance review process , see attached instructions for more details on this program . Should you have any issues accessing evaluation system , please let me know . Cathy G. Ogletree Director Human Resources Direct : ( NUM ) NUM Main : ( NUM ) NUM Fax : ( NUM ) NUM EMAIL NUM North NUM Street Suite NUM Birmingham , Alabama NUM < URL > URL _____ CONFIDENTIAL : ATTORNEY/CLIENT PRIVILEGED ; ATTORNEY WORK PRODUCT The information contained in this email is intended for the individual or entity above . This email is protected by the Electronic Communications Privacy Act , NUM U.S.C. Sections NUM and is legally protected by the attorney/client privilege and/or work product doctrine . If you are not the intended recipient , please do not read , copy , use , forward or disclose this communication to others ; also , please notify the sender by replying to this message , and then delete this message from your system . Thank you . Circular NUM Notice - Regulations adopted by the Internal Revenue Service require us to inform you that any federal tax advice contained in this communication ( including attachments ) ( I ) is not intended or written by Burr & Forman LLP to be used , and can not be used , by any taxpayer for the purpose of avoiding penalties that may be imposed on the taxpayer , and ( II ) is not written to support the promotion or marketing of any transaction ( s ) or matter ( s ) addressed in this communication ."
19,1,"Martin E. Burke Attorney at Law Direct : ( 205 ) 458-5447 Main : ( 205 ) 251-3000 Fax : ( 205 ) 458-5100 Mburke@burr.com 420 North 20th Street Suite 3400 Birmingham , Alabama 35203 www.burr.com < http://www.burr.com/ >"
20,0,"absolutely . thanks . _____ From : Hayslip , Victor [ mailto:Vhayslip@burr.com] Sent : Tuesday , August NUM , NUM 10:30 AM To : Adam K. Peck Subject : Re : Johnny Roberts Johnny@bhate . com . Let 's grab lunch soon . Vic Sent from my iphone On Aug NUM , NUM , at 9:09 AM , "" Adam K. Peck "" < EMAIL > wrote : Hey Vic , NUM of my partners wanted to email Johny and I did not have Johnny 's email address , but I figured you would . Could you send it to me , please ? Thanks and I hope you are doing well . Regards , Adam URL NOTICE : This email may contain information that is privileged or otherwise confidential . It is intended solely for the holder of the email address to which it has been directed . It should not be disseminated , distributed , copied or forwarded to any other persons . It is not intended for transmission to , or receipt by , any other person . If you have received this email in error , please notify us of the error by reply email or by calling Adam K. Peck at ( NUM ) NUM , and please delete this email without copying or forwarding it ."
21,1,"Adam K. Peck Direct Dial :( 205 ) 581-0719 Direct Fax :( 205 ) 380-9119 apeck@lightfootlaw.com The Clark Building 400 20th Street North Birmingham , AL 35203-3200 < http://www.lightfootlaw.com/ > http://www.lightfootlaw.com"
